"Term","Replacement"
"President George W. Bush",presidentBush
"Bush",presidentBush
"candidate Hillary Clinton",hillaryClinton
"Hillary Clinton",hillaryClinton
"anti-Clinton",hillaryClinton
"Crooked Hillary Clinton",hillaryClinton
"Clinton",hillaryClinton
President Barack Obama,presidentObama
Barack Obama,presidentObama
Obama,presidentObama
President Park Geun-hye,presidentSK
"Democratic emails",clintonEmail
"Wall Street Journal",usMedia
"CNN",usMedia
"commentators",usMedia
"David Sanger",usMedia
"New York Times",usMedia
"Associated Press",usMedia
"reporters",usMedia
"Matthew Chance",usMedia
"Efren C. Olivares",efrenOlivares
"Texas Civil Rights Project in Alamo",efrenOlivares
"Brian Segee",brianSegee
"Center for Biological Diversity",brianSegee
